id,clicks,time_secs,avg_cpu,runs
1,77,3.1,100,1
2,15,0.59,100,1
3,283,11.31,100,1
4,324,12.8,99.98,1
5,24,1.04,99.99,1
6,4,0.11,100,1
7,8,0.32,100,1
8,68,0.14,100,1
9,4042,8.66,100,1
10,8152,16.3,99.99,1
